premise,hypothesis,label
"Environmental Research Letters, 10(12), 
125018, doi:10.1088/1748-9326/10/12/125018.",The Environmental Research Letters is a journal.,entailment
"Environmental Research Letters, 10(12), 
125018, doi:10.1088/1748-9326/10/12/125018.",The Environmental Research Letters is not a journal.,contradiction
"Environmental Research Letters, 10(12), 
125018, doi:10.1088/1748-9326/10/12/125018.","The latter is also split into (f) emissions from the energy supply sector (electricity sector and refineries) and (g) direct emissions from fossil-fuel use in energy demand sectors 
(industry, buildings, transport) (bottom row).",neutral
"Nature Climate Change, 3(10), 885–
889, doi:10.1038/nclimate2009.
Weyant, J., 2017: Some Contributions of Integrated Assessment Models of Global 
Climate Change.","Weyant, J., 2017: Some Contributions of Integrated Assessment Models of Global Climate Change.",entailment
"Nature Climate Change, 3(10), 885–
889, doi:10.1038/nclimate2009.
Weyant, J., 2017: Some Contributions of Integrated Assessment Models of Global 
Climate Change.","Weyant, J., 2018: Some Contributions of Integrated Assessment Models of Global Climate Change.",contradiction
"Nature Climate Change, 3(10), 885–
889, doi:10.1038/nclimate2009.
Weyant, J., 2017: Some Contributions of Integrated Assessment Models of Global 
Climate Change.","et al., 2016b: The need for national deep decarbonization pathways for 
effective climate policy.",neutral
"Wiley Interdisciplinary Reviews: Energy and Environment, 6(5), e253, 
doi:10.1002/wene.253.
Purohit, P .","Purohit, P, ""Energy and Environment, 6(5), e253, doi:10.1002/wene.253.""",entailment
"Wiley Interdisciplinary Reviews: Energy and Environment, 6(5), e253, 
doi:10.1002/wene.253.
Purohit, P .","Purohit, P, ""Energy and Environment, 8(5), e253, doi:10.1002/wene.253.""",contradiction
"Wiley Interdisciplinary Reviews: Energy and Environment, 6(5), e253, 
doi:10.1002/wene.253.
Purohit, P .","Applied Energy, 143, 
451–459, doi:10.1016/j.apenergy.2015.01.006.
Hope, C., 2006: The Marginal Impact of CO2 from PAGE2002: An Integrated 
Assessment Model Incorporating the IPCC’s Five Reasons for Concern.",neutral
"Carbon budgets can be derived from CO2-only experiments as well 
as from multi-gas and aerosol scenarios.",Carbon budgets can be derived from a variety of scenarios.,entailment
"Carbon budgets can be derived from CO2-only experiments as well 
as from multi-gas and aerosol scenarios.",It is false that Carbon budgets can be derived from a variety of scenarios.,contradiction
"Carbon budgets can be derived from CO2-only experiments as well 
as from multi-gas and aerosol scenarios.","Nature Climate Change, 5(1), 127–132, 
doi:10.1038/nclimate2481.
Mouratiadou, I.",neutral
"Proceedings of the National Academy of Sciences, 111(10), 3709–
3714, doi:10.1073/pnas.1308044111.
Heck, V., D.",The National Academy of Sciences has a journal.,entailment
"Proceedings of the National Academy of Sciences, 111(10), 3709–
3714, doi:10.1073/pnas.1308044111.
Heck, V., D.",It is false that The National Academy of Sciences has a journal.,contradiction
"Proceedings of the National Academy of Sciences, 111(10), 3709–
3714, doi:10.1073/pnas.1308044111.
Heck, V., D.","Geophysical Research Letters, 43(8), 
3911–3920, doi:10.1002/2016gl068406.
Gren, I.-M.",neutral
"et al., 2018: Substantial large-scale feedbacks between natural aerosols 
and climate.",There are substantial large-scale feedbacks between natural aerosols and climate.,entailment
"et al., 2018: Substantial large-scale feedbacks between natural aerosols 
and climate.",There are not substantial large-scale feedbacks between natural aerosols and climate.,contradiction
"et al., 2018: Substantial large-scale feedbacks between natural aerosols 
and climate.","The 1.9 and 2.6 W m−2 pathways are taken as proxies for 1.5°C and 2°C pathways, respectively.",neutral
"Furthermore, cropland for food and feed production decreases in 
most 1.5°C pathways, both compared to a no-climate baseline and 
relative to 2010.",Cropland for food and feed production decreases in most 1.5C pathways compared to a no-climate baseline.,entailment
"Furthermore, cropland for food and feed production decreases in 
most 1.5°C pathways, both compared to a no-climate baseline and 
relative to 2010.",Cropland for food and feed production decreases in most 5.5C pathways compared to a no-climate baseline.,contradiction
"Furthermore, cropland for food and feed production decreases in 
most 1.5°C pathways, both compared to a no-climate baseline and 
relative to 2010.","As a result, median levels of total CDR deployment in 1.5°C-consistent 
pathways are larger than in 2°C-consistent pathways (Figure 2.9), but 
with marked variations in each pathway class.
Ramp-up rates of individual CDR measures in 1.5°C-consistent 
pathways are provided in Table 2.4.",neutral
"159
 FAQ 2.2:  What do Energy Supply and Demand 
 have to do with Limiting Warming to 1.5°C?",What do energy supply and demand have to do with limiting warming to 1.5C?,entailment
"159
 FAQ 2.2:  What do Energy Supply and Demand 
 have to do with Limiting Warming to 1.5°C?",What do energy supply and demand have to do with limiting warming to 4.5C?,contradiction
"159
 FAQ 2.2:  What do Energy Supply and Demand 
 have to do with Limiting Warming to 1.5°C?","Overall sustainability implications of 
1.5°C-consistent pathways are assessed in Section 2.5.3 and Chapter 
5, Section 5.4.
Individual CDR measures have different characteristics and therefore 
would carry different risks for their sustainable deployment at scale 
(Smith et al., 2015).",neutral
"However, a pathway 
that allows and plans for the successful large-scale deployment of 
BECCS by and beyond 2050 (S5) shows a shift in the opposite direction.",The pathway that allows and plans for the successful large-scale deployment of BECCS shows a shift in the opposite direction.,entailment
"However, a pathway 
that allows and plans for the successful large-scale deployment of 
BECCS by and beyond 2050 (S5) shows a shift in the opposite direction.",It is false that The pathway that allows and plans for the successful large-scale deployment of BECCS shows a shift in the opposite direction.,contradiction
"However, a pathway 
that allows and plans for the successful large-scale deployment of 
BECCS by and beyond 2050 (S5) shows a shift in the opposite direction.","Science, 356(6337), 493–494, doi:10.1126/science.aak9521.
Shukla, P .R.",neutral
"et al., 2014b: Disentangling the effects of CO2 and short-lived climate 
forcer mitigation.",Disentangling the effects of CO2 and climate change.,entailment
"et al., 2014b: Disentangling the effects of CO2 and short-lived climate 
forcer mitigation.",Disentangling the effects of CO7 and climate change.,contradiction
"et al., 2014b: Disentangling the effects of CO2 and short-lived climate 
forcer mitigation.","Whether bioenergy has large adverse impacts on environmental and 
societal goals depends in large parts on the governance of land use (Haberl et al., 2013; Erb et al., 2016b; Obersteiner et al., 2016; 
Humpenöder et al., 2018).",neutral
"In particular, a pathway with high energy demand would increase our 
reliance on practices and technologies that remove CO2 from the atmosphere.",A pathway with high energy demand would increase our reliance on practices and technologies that remove CO2 from the atmosphere.,entailment
"In particular, a pathway with high energy demand would increase our 
reliance on practices and technologies that remove CO2 from the atmosphere.",A pathway with high energy demand would increase our reliance on practices and technologies that remove CO4 from the atmosphere.,contradiction
"In particular, a pathway with high energy demand would increase our 
reliance on practices and technologies that remove CO2 from the atmosphere.","Tol, 2009: The impact of climate change on the balanced 
growth equivalent: An application of FUND.",neutral
"This increased action 
would need to achieve net zero CO2 emissions in less than 15 years.",Less than 15 years is how long it will take to achieve net zero CO2 emissions.,entailment
"This increased action 
would need to achieve net zero CO2 emissions in less than 15 years.",Less than 15 years is not how long it will take to achieve net zero CO2 emissions.,contradiction
"This increased action 
would need to achieve net zero CO2 emissions in less than 15 years.","Current IAMs have limited 
emissions-reduction potentials (Gernaat et al., 2015) (Sections 2.3.1.2, 
2.4.4, Supplementary Material  2.SM.1.2), reflecting the difficulty of 
eliminating N2O emission from agriculture (Bodirsky et al., 2014).",neutral
"The SSPs were designed to vary mitigation challenges 
(O’Neill et al., 2014) (Cross-Chapter Box 1 in Chapter 1), including 
for the AFOLU sector (Popp et al., 2017; Riahi et al., 2017).",The SSPs were designed to vary the challenges of the AFOLU sector.,entailment
